Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,2.3003472222222223,2.322048611111111,0.5,29.0,2.7666659355163574
,,15,26,204001,20cw,2.6433449074074074,2.6636689814814813,0.43333300948143005,32.0,-2.3166658878326416
,3058,6,39,502001,51,2.2778819444444443,2.289513888888889,1.166666030883789,16.0,1.916666030883789
,,7,5,502002,51,2.295590277777778,2.3105324074074076,0.6666659712791443,24.0,-1.8333330154418945
,,,29,502003,51,2.3124305555555553,2.3304976851851853,0.9166659712791443,27.0,-0.08333300054073334
,,16,0,502101,51,,2.6851273148148147,,27.0,-0.4166660010814667
,,,33,502102,51,2.690150462962963,2.710636574074074,0.8333330154418945,28.0,2.3333330154418945
,,17,8,502103,51,2.7142824074074072,2.7345949074074074,0.5833330154418945,27.0,2.8333330154418945
,,,48,502104,51,2.7420601851851854,2.7595949074074073,0.5833330154418945,25.0,0.8333330154418945
,,18,19,502105,51,2.7646296296296295,2.7813078703703704,2.0833330154418945,27.0,-0.9166659712791443
,,,53,502106,51,2.7873726851851854,2.8031828703703705,0.8333330154418945,24.0,-0.4166660010814667
,,19,20,502107,51,2.8068171296296294,2.815497685185185,1.8333330154418945,11.0,3.3333330154418945
,3206,12,46,501101,51,2.532534722222222,2.5525,0.8666660189628601,24.0,5.616665840148926
,,13,13,501102,51,2.552673611111111,2.569513888888889,2.866666078567505,26.0,1.1166659593582153
,,,46,501103,51,2.574201388888889,2.592604166666667,0.8666660189628601,24.0,3.366666078567505
,,14,12,501104,51,2.593472222222222,2.6129166666666666,2.616666078567505,26.0,4.616665840148926
,,,45,501105,51,2.6158680555555556,2.634097222222222,1.8666659593582153,25.0,3.116666078567505
,,15,12,501106,51,2.634965277777778,2.655451388888889,2.366666078567505,27.0,4.866665840148926
,,16,3,501107,51,2.669814814814815,2.689085648148148,1.5499999523162842,28.0,1.2999999523162842
,,,34,501108,52,2.690659722222222,2.716342592592593,0.550000011920929,35.0,2.549999952316284
,,17,16,501109,51,,2.7398148148148147,,26.0,3.3499999046325684
,,,45,501110,51,2.74,2.757534722222222,0.6000000238418579,27.0,-1.149999976158142
,,18,25,501111,51,2.767951388888889,2.7860069444444444,0.8500000238418579,25.0,1.850000023841858
,,,53,501112,52,2.787037037037037,2.811875,0.3499999940395355,35.0,1.100000023841858
,,19,34,501113,51,,2.8356712962962964,,24.0,5.383333206176758
,3208,6,7,501001,51,2.2552083333333335,2.2756944444444445,0.5166659951210022,23.0,7.016665935516357
,,,38,501002,51,2.2769097222222223,2.2916666666666665,0.7666659951210022,21.0,1.016666054725647
,,,59,501003,52,2.292013888888889,,1.516666054725647,36.0,
,,7,44,501004,51,,2.3410069444444446,,24.0,3.0666658878326416
,,8,11,501005,51,2.341875,2.3630555555555555,1.3166660070419312,25.0,6.816666126251221
,,,49,501006,51,,2.3844097222222222,,24.0,0.5666660070419312
,,9,13,501007,51,2.3847569444444443,2.4017708333333334,1.0666660070419312,25.0,0.5666660070419312
,,,45,501008,51,2.4066319444444444,2.4257291666666667,0.5666660070419312,24.0,4.066666126251221
,,10,11,501009,51,2.4260763888888888,2.440324074074074,2.5666658878326416,26.0,-2.933332920074463
,,,44,501010,51,,2.4666319444444444,,26.0,1.9500000476837158
,,11,10,501011,51,2.4669791666666665,2.4824305555555557,2.450000047683716,26.0,-1.2999999523162842
,,,49,501012,51,,,,24.0,
,,12,13,501013,51,2.510474537037037,2.527314814814815,2.0999999046325684,26.0,0.3499999940395355
,3209,5,58,601001,60,2.2490972222222223,2.2622916666666666,0.7166659832000732,18.0,1.7166659832000732
,,6,20,601002,60,2.264201388888889,2.2767013888888887,0.46666601300239563,16.0,2.4666659832000732
,,,41,601003,60,2.2787847222222224,2.2918171296296297,0.46666601300239563,20.0,-0.7833330035209656
,,7,3,601004,60,2.2940625,2.306388888888889,0.46666601300239563,17.0,1.2166659832000732
,,,33,601005,60,,2.3313194444444445,,21.0,3.116666078567505
,,,58,601006,60,2.332708333333333,2.3467708333333333,1.1166659593582153,18.0,3.366666078567505
,,8,23,601007,60,2.349548611111111,2.3658680555555556,0.3666659891605377,21.0,2.866666078567505
,,,47,601008,60,2.366388888888889,2.379236111111111,0.6166660189628601,17.0,2.116666078567505
,,9,12,601009,60,2.38375,2.3985069444444447,0.6166660189628601,20.0,1.8666659593582153
,,,36,601010,60,2.4002430555555554,2.4144791666666667,0.3666659891605377,17.0,3.866666078567505
,,,58,601011,60,2.4156944444444446,2.429236111111111,0.6166660189628601,20.0,0.11666599661111832
,,10,19,601012,60,2.4301041666666667,2.4422569444444444,0.3666659891605377,17.0,0.8666660189628601
,,14,45,602001,60,2.6155439814814816,2.6329166666666666,1.399999976158142,23.0,3.4000000953674316
,,15,8,602002,60,2.633090277777778,2.6464583333333334,3.6500000953674316,17.0,5.900000095367432
,,,31,602003,60,2.646967592592593,2.6631134259259257,0.6499999761581421,23.0,0.8999999761581421
,,,56,602004,60,2.665729166666667,2.680138888888889,2.6500000953674316,19.0,4.400000095367432
,,16,18,602005,60,2.6804745370370373,2.6950578703703703,1.899999976158142,23.0,-0.10000000149011612
,,,45,602006,60,2.6985300925925926,2.711898148148148,0.8999999761581421,19.0,1.149999976158142
,,17,17,602007,60,2.7212962962962965,2.7385532407407407,1.6833330392837524,24.0,2.5333330631256104
,,,45,602008,60,2.740289351851852,2.754351851851852,1.0333329439163208,18.0,3.2833330631256104
,,18,6,602009,60,2.7548726851851852,2.770150462962963,1.0333329439163208,22.0,1.0333329439163208
,,,30,602010,60,2.77119212962963,,0.5333330035209656,17.0,
,,,47,602011,60,2.7861226851851852,2.798449074074074,5.033332824707031,22.0,0.7833330035209656
,,19,13,602012,60,2.7986458333333335,2.813553240740741,-2.9666659832000732,17.0,1.5333329439163208
,3216,5,41,293001,20cc,2.2377083333333334,2.2755555555555556,1.3166660070419312,55.0,0.8166660070419312
,,6,36,293002,20cc,2.2759027777777776,2.314791666666667,1.3166660070419312,56.0,1.3166660070419312
,,7,32,293003,20cc,2.315150462962963,2.3627083333333334,1.8333330154418945,67.0,3.3166658878326416
,,8,39,293004,20cc,2.362881944444444,2.40837962962963,3.5666658878326416,69.0,0.08333300054073334
,,9,48,293005,20cc,2.408726851851852,2.4566435185185185,0.5833330154418945,70.0,-0.43333300948143005
,,10,58,293006,20cc,2.457152777777778,2.5066435185185183,0.31666600704193115,73.0,-1.4333330392837524
,,12,11,293007,20cc,2.5078472222222223,2.557511574074074,0.31666600704193115,73.0,-1.1833330392837524
,,13,24,293008,20cc,2.5585416666666667,2.609421296296296,0.31666600704193115,75.0,-1.4333330392837524
,,14,39,293009,20cc,2.6109837962962965,2.6630555555555553,0.8333330154418945,72.0,3.8166658878326416
,,15,51,293010,20cc,2.6640972222222223,2.7114930555555556,5.316666126251221,70.0,3.5666658878326416
,,17,1,293011,20cc,2.712013888888889,,4.316666126251221,68.0,
,,18,9,293012,20cc,2.7607986111111114,2.7958680555555553,6.566666126251221,56.0,1.0666660070419312
,,19,5,293013,20cc,2.7960416666666665,2.8271180555555553,1.3166660070419312,46.0,0.06666599959135056
,3218,6,48,403001,40,,2.3054282407407407,,28.0,3.8333330154418945
,,7,26,403002,40,2.311678240740741,2.329039351851852,2.8333330154418945,23.0,4.8333330154418945
,,,52,403003,40,2.3295601851851853,2.3484837962962963,2.5833330154418945,28.0,1.8333330154418945
,,8,30,403004,40,2.3547337962962964,2.371574074074074,0.8333330154418945,23.0,2.0833330154418945
,,15,10,403101,40,2.632511574074074,2.6533449074074076,0.8333330154418945,27.0,3.8333330154418945
,,,40,403102,40,2.654386574074074,2.673136574074074,2.3333330154418945,28.0,1.3333330154418945
,,16,21,403103,40,2.682164351851852,2.700740740740741,1.3333330154418945,27.0,1.0833330154418945
,,,51,403104,40,2.702476851851852,2.7224421296296297,0.5833330154418945,29.0,0.33333298563957214
,,17,30,403105,40,2.7302546296296297,2.7488310185185183,1.5833330154418945,28.0,0.33333298563957214
,3219,5,54,202001,20cw,2.24625,2.274201388888889,0.6000000238418579,40.0,0.8500000238418579
,,6,45,202002,20cw,2.2816666666666667,2.3143055555555554,0.6000000238418579,47.0,0.6000000238418579
,,7,42,202003,20cw,2.321064814814815,2.3596180555555555,0.3499999940395355,54.0,1.850000023841858
,,8,51,202004,20cw,2.369340277777778,2.4082175925925924,0.8500000238418579,54.0,2.8499999046325684
,,9,55,202005,20cw,2.413425925925926,2.451111111111111,0.3499999940395355,54.0,0.6000000238418579
,,10,59,202006,20cw,2.4584027777777777,2.4978125,1.100000023841858,57.0,0.8500000238418579
,,12,6,202007,20cw,2.5047569444444444,2.5490162037037036,0.8500000238418579,59.0,5.599999904632568
,,13,15,202008,20cw,2.5528472222222223,2.593460648148148,1.100000023841858,60.0,-0.4000000059604645
,,14,25,202009,20cw,2.601284722222222,2.646412037037037,0.8500000238418579,62.0,3.8499999046325684
,,15,37,202010,20cw,2.6519791666666666,2.694849537037037,1.850000023841858,60.0,3.5999999046325684
,,16,47,202011,20cw,2.7005902777777777,2.749201388888889,1.850000023841858,61.0,10.850000381469727
,,17,58,202012,20cw,2.7502314814814817,2.7922569444444445,2.3499999046325684,53.0,9.850000381469727
,,19,1,202013,20cw,2.792777777777778,2.832361111111111,0.6000000238418579,47.0,10.600000381469727
,3220,6,23,402001,40,2.2663657407407407,2.2833912037037036,0.5833330154418945,26.0,-0.9166659712791443
,,,59,402002,40,2.291539351851852,2.3083796296296297,0.8333330154418945,23.0,2.0833330154418945
,,7,27,402003,40,2.310810185185185,2.331990740740741,0.5833330154418945,29.0,2.0833330154418945
,,8,14,402004,40,2.3436226851851854,2.3608101851851853,0.8333330154418945,23.0,2.5833330154418945
,,,40,402005,40,2.36150462962963,2.380960648148148,0.5833330154418945,29.0,-0.4166660010814667
,,9,19,402006,40,2.388587962962963,2.406296296296296,0.5833330154418945,23.0,3.0833330154418945
,,,45,402007,40,2.4069907407407407,2.427824074074074,1.0833330154418945,29.0,2.0833330154418945
,,10,24,402008,40,2.4345949074074076,2.452476851851852,1.8333330154418945,24.0,3.5833330154418945
,,,51,402009,40,2.4535185185185187,2.4705439814814816,2.0833330154418945,28.0,-1.416666030883789
,,11,29,402010,40,2.479212962962963,2.496747685185185,1.0833330154418945,25.0,1.3333330154418945
,,,57,402011,40,2.4984837962962962,2.5205324074074076,0.8333330154418945,28.0,4.5833330154418945
,,12,38,402012,40,2.527303240740741,2.5451851851851854,1.3333330154418945,25.0,2.0833330154418945
,,13,5,402013,40,2.5457060185185183,2.5681018518518517,0.8333330154418945,29.0,4.0833330154418945
,,,44,402014,40,2.5736574074074072,2.591886574074074,2.0833330154418945,25.0,3.3333330154418945
,,14,11,402015,40,2.5925810185185183,2.612372685185185,2.3333330154418945,28.0,2.8333330154418945
,,,49,402016,40,2.6267824074074073,2.6437962962962964,13.583333015441895,27.0,11.083333015441895
,,15,19,402017,40,2.6441435185185185,2.6609837962962963,8.583333015441895,29.0,3.8333330154418945
,,,58,402018,40,2.6646527777777775,2.6845949074074076,-0.9166659712791443,27.0,0.8333330154418945
,,16,28,402019,40,2.6865046296296295,2.706134259259259,0.5833330154418945,29.0,-0.16666600108146667
,,17,7,402020,40,2.713761574074074,2.733726851851852,0.8333330154418945,28.0,1.5833330154418945
,,,38,402021,40,2.7351157407407407,2.753703703703704,0.5833330154418945,29.0,-1.666666030883789
,,18,17,402022,40,2.7628935185185184,2.7795717592592593,1.5833330154418945,26.0,-0.4166660010814667
,,,43,402023,40,2.78181712962963,2.800740740740741,2.8333330154418945,26.0,4.0833330154418945
,,19,17,402024,40,2.8045601851851854,2.8191550925925926,1.5833330154418945,23.0,-0.4166660010814667
,3221,5,59,103001,10,2.2498958333333334,2.2597916666666666,0.8500000238418579,15.0,0.10000000149011612
,,6,14,103002,10,2.2601388888888887,2.2733333333333334,0.6000000238418579,19.0,0.6000000238418579
,,,40,103003,10,2.2781944444444444,,0.6000000238418579,15.0,
,,,55,103004,10,2.2893055555555555,2.3031944444444443,1.600000023841858,21.0,0.6000000238418579
,,7,29,103005,10,2.3129166666666667,2.328009259259259,1.600000023841858,18.0,5.349999904632568
,,,51,103006,10,2.3281944444444447,2.3439814814814817,1.600000023841858,21.0,3.3499999046325684
,,8,19,103007,10,2.3467592592592594,2.3594444444444447,0.3499999940395355,17.0,1.600000023841858
,,,36,103008,10,2.360127314814815,2.3762731481481483,2.5999999046325684,21.0,4.849999904632568
,,9,4,103009,10,2.3781944444444445,,0.6000000238418579,18.0,
,,,22,103010,10,2.3918981481481483,2.4073611111111113,2.3499999046325684,23.0,1.600000023841858
,,,52,103011,10,2.411875,,1.100000023841858,19.0,
,,10,11,103012,10,2.425925925925926,2.4415625,2.3499999046325684,23.0,1.850000023841858
,,,41,103013,10,2.4453703703703704,2.459953703703704,0.3499999940395355,21.0,0.3499999940395355
,,11,2,103014,10,2.460138888888889,2.476273148148148,0.6000000238418579,24.0,-0.15000000596046448
,,,39,103015,10,2.4860069444444446,2.4998958333333334,0.8500000238418579,20.0,0.8500000238418579
,,12,1,103016,10,2.5011111111111113,2.518125,0.6000000238418579,24.0,1.100000023841858
,,,32,103017,10,2.522638888888889,2.536875,0.6000000238418579,21.0,0.10000000149011612
,,,55,103018,10,2.538611111111111,2.558738425925926,0.6000000238418579,24.0,5.599999904632568
,,13,26,103019,10,2.561863425925926,,3.0999999046325684,20.0,
,,,48,103020,10,2.5797453703703703,2.5957175925925924,6.849999904632568,24.0,5.849999904632568
,,14,25,103021,10,2.6031828703703703,,3.5999999046325684,20.0,
,,,47,103022,10,2.6175925925925925,2.63375,2.3499999046325684,24.0,1.600000023841858
,,15,18,103023,10,2.6377314814814814,2.6528472222222224,0.3499999940395355,21.0,1.100000023841858
,,,41,103024,10,2.6537037037037035,2.669861111111111,0.3499999940395355,23.0,0.6000000238418579
,,16,11,103025,10,2.6754166666666666,2.691724537037037,1.600000023841858,20.0,5.099999904632568
,,,36,103026,10,2.691898148148148,2.710821759259259,0.3499999940395355,23.0,4.599999904632568
,,17,6,103027,10,2.7129166666666666,2.7280092592592595,0.6000000238418579,20.0,2.3499999046325684
,,,28,103028,10,2.7285416666666666,2.7467708333333336,1.100000023841858,26.0,1.350000023841858
,,18,1,103029,10,2.7514583333333333,,1.100000023841858,20.0,
,,,23,103030,10,2.769675925925926,2.785127314814815,5.349999904632568,22.0,5.599999904632568
,,,52,103031,10,2.786701388888889,2.800752314814815,0.8500000238418579,19.0,2.0999999046325684
,,19,18,103032,10,2.8047569444444447,2.8205555555555555,0.8500000238418579,22.0,1.600000023841858
,,,47,103033,10,2.8248958333333336,2.835486111111111,0.8500000238418579,15.0,1.100000023841858
,3222,5,50,101001,10,2.2432291666666666,2.256076388888889,0.2666659951210022,18.0,0.7666659951210022
,,6,15,101002,10,2.260763888888889,2.2723958333333334,0.5166659951210022,15.0,2.2666659355163574
,,,30,101003,10,2.2725694444444446,2.2840277777777778,2.5166659355163574,19.0,0.016666000708937645
,,7,2,101004,10,2.2934027777777777,2.3065972222222224,0.5166659951210022,18.0,1.516666054725647
,,,20,101005,10,2.306770833333333,2.3204861111111112,1.766666054725647,21.0,0.5166659951210022
,,,48,101006,10,2.3258680555555555,2.341666666666667,1.266666054725647,18.0,6.016665935516357
,,8,6,101007,10,2.3418402777777776,2.356423611111111,6.266665935516357,21.0,6.266665935516357
,,,34,101008,10,2.3583333333333334,2.3743055555555554,2.0166659355163574,17.0,8.016666412353516
,,,51,101009,10,2.3744791666666667,2.3887152777777776,8.266666412353516,22.0,6.766665935516357
,,9,20,101010,10,2.3911458333333333,2.4060763888888888,3.2666659355163574,18.0,6.766665935516357
,,,38,101011,10,2.40625,2.4227430555555554,7.016665935516357,22.0,8.766666412353516
,,10,7,101012,10,2.4243055555555557,,4.016665935516357,20.0,
,,,27,101013,10,2.4368055555555554,2.451909722222222,2.0166659355163574,23.0,0.7666659951210022
,,11,3,101014,10,2.4611111111111112,2.4739699074074073,1.016666054725647,20.0,-0.4833329916000366
,,,23,101015,10,2.4755208333333334,2.4916666666666667,1.766666054725647,24.0,1.016666054725647
,,,54,101016,10,2.4973958333333335,2.5099074074074075,2.2666659355163574,21.0,-0.7333329916000366
,,12,18,101017,10,2.5133680555555555,2.53125,1.25,24.0,3.0
,,,49,101018,10,2.5348958333333336,2.5508680555555556,1.25,21.0,3.25
,,13,12,101019,10,2.5510416666666664,2.5711805555555554,1.516666054725647,24.0,6.5
,3223,6,43,102001,10,2.280625,2.2939814814814814,1.100000023841858,20.0,0.3499999940395355
,,7,16,102002,10,2.3031944444444443,2.3158680555555557,0.6000000238418579,18.0,0.8500000238418579
,,,36,102003,10,2.316898148148148,2.3328703703703706,0.3499999940395355,21.0,2.3499999046325684
,,8,4,102004,10,2.3370486111111113,2.3502314814814813,1.350000023841858,17.0,3.3499999046325684
,,,21,102005,10,2.350578703703704,2.368472222222222,3.8499999046325684,21.0,8.600000381469727
,,,49,102006,10,2.371064814814815,2.3863541666666666,5.349999904632568,17.0,10.350000381469727
